Rep,Plot,Clone,First Rust Rating,Canker
1,281,10X-400-022,28,1
1,282,10X-400-033,21,1
1,283,05X-293-047,0,0
1,284,10X-400-053,18,0
2,285,10X-218-002,0,0
2,286,99217-015,0,0
2,287,10X-239-009,0,0
2,288,06X-330-007 ,0,0
2,289,07X-357-034,0,0
2,290,10X-239-004,10,0
2,291,10X-400-034,19,1
2,292,10X-400-087,12,0
2,293,10X-400-043,14,1
2,294,10X-400-068,8,0
2,295,10X-239-013,Dead ,0
2,296,07X-357-095,0,0
2,297,10X-218-010,0,0
2,298,10X-400-036,5,0
2,299,10X-218-007,0,0
2,300,10X-239-018,4,0
2,301,10X-405-023,9,1
2,302,10X-400-008,Dead ,0
2,303,06X-330-057 ,0,0
2,304,05X-295-014,4,0
2,305,07X-357-089,0,0
2,306,10X-400-080,13,1
2,307,10X-400-053,Dead ,0
2,308,10X-400-082,0,0
2,309,07X-357-100,0,0
2,310,94006,2,0
2,311,10X-405-015,0,0
2,312,07X-356-055,0,0
2,313,01-200-004,Dead ,0
2,314,10X-400-044,14,1
2,315,Nimrod,0,0
2,316,10X-400-035,19,0
2,317,06X-330-105 ,0,0
2,318,10X-239-021,0,0
2,319,10X-400-075,8,1
2,320,10X-405-007,12,0
2,321,10X-400-032,6,0
2,322,06X-330-046 ,0,0
2,323,05X-287-218,0,0
2,324,10X-239-023,0,0
2,325,10X-405-022,4,0
2,326,10X-400-002,2,0
2,327,10X-400-070,6,0
2,328,10X-400-074,13,0
2,329,01-200-010,0,0
2,330,05X-287-028,0,0
2,331,10X-405-002,3,1
2,332,10X-239-019,0,0
2,333,SH3,0,0
2,334,07X-356-036,0,0
2,335,Terra Nova,0,0
2,336,10X-239-033,3,0
2,337,9870-23 ,0,0
2,338,10X-400-055,Dead ,0
2,339,06X-330-019 ,0,0
2,340,10X-239-022,0,0
2,341,10X-405-020,8,0
2,342,10X-405-017,0,0
2,343,10X-400-071,13,0
2,344,Klara,Dead ,0
2,345,10X-218-006,0,0
2,346,10X-400-038,4,1
2,347,10X-400-056,9,1
2,348,10X-239-027,0,0
2,349,10X-400-003,6,1
2,350,10X-400-098,0,1
